pickup_address,droppoff_address,time,justgrab,grabcar,grabcar6,pickup_longlat,dropoff_longlat
"Ocean Financial Centre, 049315",51 Telok Ayer St 048441,2023-03-01 17:29:00 UTC,10.26,11.21,12.16,"1.283422043524126, 103.85203242556372","1.2831500912513192, 103.84927752926207"
"Hong Leong Building, 048581",51 Telok Ayer St 048441,2023-03-01 17:31:00 UTC,10.26,11.21,11.21,"1.2815918005732743, 103.85098625439927","1.2831500912513192, 103.84927752926207"
"Alkaff Cres, 340123",52 Telok Ayer St 048441,2023-03-01 17:32:00 UTC,15.96,16.91,26.41,"1.3363568692270062, 103.87359619672816","1.2831500912513192, 103.84927752926207"
"211 Serangoon Ave 4, 550211","Simei St 1, 520120",2023-03-01 17:35:00 UTC,16.91,18.81,25.46,"1.358414834681329, 103.87070059672817","1.3457371175363357, 103.95439555309876"
"Guoco Tower, Tanjong Pagar Centre, 078881","ION Orchard, 238801",2023-03-02 14:35:00 UTC,10.26,11.21,13.11,"1.2771655224876894, 103.84582909672807","1.3040789638513597, 103.83194919672815"
"124A Rivervale Drive, 541124","Terminal 1 - Changi Airport, 819663",2023-03-02 14:37:00 UTC,22.61,24.51,38.76,"1.3886431613240113, 103.90225519672819","1.357702710156134, 103.98650994874131"
"Tuas Link MRT Station (EW33), 638418","Tampines 1, 529536",2023-03-02 14:39:00 UTC,33.06,36.86,52.06,"1.339929787559795, 103.63669902556377","1.3542388899643198, 103.94536919672817"
"Tuas Link MRT Station (EW33), 638419","6 Serangoon North Ave 5, 554910",2023-03-02 14:41:00 UTC,30.21,33.04,47.31,"1.339929787559795, 103.63669902556377","1.3743222367476735, 103.86908116789259"
"Bishan Loft, 579821","6 Serangoon North Ave 5, 554910",2023-03-02 14:42:00 UTC,16.91,18.81,23.56,"1.347464635318663, 103.85234756604335","1.3743222367476735, 103.86908116789259"
"Bishan MRT, 579827","Bishan Loft, 579821",2023-03-02 14:45:00 UTC,9.31,10.26,11.21,"1.3510462453604495, 103.84868931022135","1.347464635318663, 103.85234756604335"
"Umeko Pte Ltd, 659529","Bishan Loft, 579822",2023-03-02 22:33:21 UTC,14.06,15.01,21.66,"1.340985813387861, 103.75543215439933","1.347464635318663, 103.85234756604335"
"211 Serangoon Ave 4, 550211","Simei MRT Station (EW3), 529888",2023-03-02 22:35:00 UTC,15.96,17.86,22.61,"1.358511367064897, 103.87071132556378","1.3432867355604783, 103.95342049672811"
"77 Poh Huat Rd, 546785","346 Clementi Ave 5, 120346",2023-03-03 23:17:00 UTC,19.76,21.66,29.26,"1.3665094889190044, 103.87993716789254","1.3174610670408184, 103.76805895439934"
"362 Clementi Ave 2, 120362","347 Clementi Ave 5, 120346",2023-03-03 23:20:00 UTC,6.46,7.41,8.36,"1.3116241373690514, 103.76759155439939","1.317308637047481, 103.77071399672808"
"363 Clementi Ave 2, 120362","Clementi Gateway, 120207",2023-03-03 23:22:00 UTC,8.36,9.31,10.26,"1.313014406715368, 103.76887985569994","1.3230177523499966, 103.76242552556371"
"SMU Li Ka Shing Library, 178901","National Museum Of Singapore, 178897",2023-03-04 15:43:00 UTC,7.41,8.36,9.31,"1.2964553991296375, 103.85014215466903","1.2968596990899575, 103.8485090969982"
"Tuas Checkpoint, 639937","Terminal 2 - Changi Airport, 819663",2023-03-04 15:45:00 UTC,36.86,40.66,52.06,"1.348585212855144, 103.63560849699795","1.3555571898595922, 103.98923627001051"
Buona Vista MRT (EW21/CC22) ,Ministry of Education (MOE) ,2023-03-04 16:10:00 UTC,6.46,7.41,8.36,"1.3082264851051495, 103.7906049347067","1.305384905254511, 103.79084471350826"